Lat,Lon,hour,is_wekend,dbscan_cluster,dbscan2_cluster
40.8181,-73.9606,21,0,0,0
40.7288,-73.9843,17,0,0,0
40.7343,-73.9855,7,0,0,0
40.7293,-73.9919,22,0,0,0
40.7664,-73.9916,14,0,0,0
40.7662,-73.9537,11,0,0,0
40.725,-73.9811,1,1,0,0
40.7268,-73.9873,0,0,0,0
40.681,-73.9967,11,0,0,0
40.7286,-74.0071,16,0,0,0
40.7633,-73.9746,13,0,0,0
40.7098,-74.0119,16,0,0,0
40.7724,-73.9608,20,0,0,0
40.7538,-73.9791,18,0,0,0
40.6935,-73.992,19,1,0,0
40.703,-73.9331,13,0,0,0
40.7607,-73.9737,20,0,0,0
40.7558,-73.9872,17,0,0,0
40.7564,-73.99,21,1,0,0
40.7604,-73.915,23,1,0,0
40.7457,-74.007,14,0,0,0
40.7267,-73.9956,3,1,0,0
40.7505,-73.9743,15,0,0,0
40.7645,-73.9808,12,1,0,0
40.7916,-73.9781,15,0,0,0
40.727,-73.9914,23,0,0,0
40.7526,-74.0062,11,0,0,0
40.7326,-74.0098,8,0,0,0
40.7375,-73.9256,8,0,0,0
40.6962,-73.9083,8,1,0,0
40.7618,-73.9692,7,0,0,0
40.7517,-73.9919,19,0,0,0
40.7915,-73.9781,6,0,0,0
40.7757,-73.9527,14,0,0,0
40.7135,-73.9587,18,0,0,0
40.6458,-73.7766,15,0,0,0
40.717,-73.9913,18,0,0,0
40.7437,-74.0064,8,0,0,0
40.7347,-74.0,0,1,0,0
40.7542,-73.9805,19,0,0,0
40.7284,-74.0031,18,0,0,0
40.7088,-74.0073,7,0,0,0
40.7082,-74.0046,11,0,0,0
40.766,-73.9813,15,0,0,0
40.7731,-73.8855,18,0,0,0
40.6949,-74.1779,21,1,1,1
40.7467,-73.9958,8,0,0,0
40.6897,-73.9658,7,0,0,0
40.777,-73.9515,7,0,0,0
40.774,-73.8726,19,1,0,0
40.7643,-73.9791,16,1,0,0
40.729,-73.9814,8,0,0,0
40.7604,-73.9913,15,0,0,0
40.7453,-74.0082,16,0,0,0
40.7215,-73.9931,21,0,0,0
40.7166,-73.9612,23,0,0,0
40.7662,-73.9817,14,0,0,0
40.7475,-74.0082,19,0,0,0
40.7708,-73.9568,7,0,0,0
40.7764,-73.9497,16,0,0,0
40.7283,-73.981,6,1,0,0
40.6826,-73.9409,8,0,0,0
40.7263,-73.9842,18,0,0,0
40.772,-73.9819,21,0,0,0
40.6887,-73.9289,19,0,0,0
40.7368,-74.1705,21,0,1,1
40.7559,-73.9832,16,0,0,0
40.7558,-73.9706,14,0,0,0
40.7746,-73.9819,10,1,0,0
40.7057,-74.0094,16,0,0,0
40.7648,-73.9783,1,1,0,0
40.775,-73.9613,18,0,0,0
40.6783,-73.9826,18,0,0,0
40.7588,-73.9676,8,0,0,0
40.7441,-73.992,11,0,0,0
40.7211,-74.0043,6,0,0,0
40.7273,-73.9952,16,0,0,0
40.7632,-73.9675,22,1,0,0
40.7309,-74.0045,21,0,0,0
40.7957,-73.9741,17,0,0,0
40.5914,-73.7862,16,0,-1,-1
40.7072,-74.0117,15,0,0,0
40.7596,-73.9679,1,0,0,0
40.8582,-74.0248,2,0,-1,-1
40.7867,-73.9758,4,0,0,0
40.7408,-74.005,3,1,0,0
40.7215,-73.9952,18,0,0,0
40.7269,-73.9915,2,1,0,0
40.7633,-73.9688,15,0,0,0
40.7422,-73.9858,4,0,0,0
40.7349,-73.9911,18,0,0,0
40.7021,-73.9828,17,1,0,0
40.7628,-73.9704,15,0,0,0
40.7831,-73.9726,16,1,0,0
40.7197,-73.9903,15,0,0,0
40.743,-74.0077,21,0,0,0
40.7843,-73.9485,21,0,0,0
40.6442,-73.7838,19,0,0,0
40.676,-74.0169,18,1,0,0
40.7531,-73.9779,17,0,0,0
40.7334,-73.993,11,0,0,0
40.7077,-74.0136,21,1,0,0
40.737,-73.9889,15,0,0,0
40.6464,-73.7771,6,1,0,0
40.7318,-73.9857,22,1,0,0
40.7618,-73.9852,22,0,0,0
40.7734,-73.982,20,1,0,0
40.7109,-73.9518,13,0,0,0
40.6856,-73.9566,9,0,0,0
40.7505,-73.9715,13,0,0,0
